2870900319,（障害児）障害児相談支援事業者,休止中,合同会社偉按蓮,ｺﾞｳﾄﾞｳｶﾞｲｼｬｲｱﾝ,ケアプランセンターみらい,ｹｱﾌﾟﾗﾝｾﾝﾀｰﾐﾗｲ,651-1411,西宮市山口町名来2丁目5番15号,078-907-1553,078-907-1554,34.8391246,135.2373362
2870900103,（障害児）障害児相談支援事業者,,社会福祉法人阪神福祉事業団,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝﾊﾝｼﾝﾌｸｼｼﾞｷﾞﾖｳﾀﾞﾝ,ななくさ新生園,ﾅﾅｸｻｼﾝｾｲｴﾝ,651-1412,西宮市山口町下山口1650-35,078-903-1920,078-903-1753,34.8337719,135.2663306
2870900384,（障害児）障害児相談支援事業者,,一般社団法人i-crosso,ｲｯﾊﾟﾝｼｬﾀﾞﾝﾎｳｼﾞﾝｱｲｸﾛﾂｿ,アイクロッソ相談支援センター,ｱｲｸﾛﾂｿｿｳﾀﾞﾝｼｴﾝｾﾝﾀｰ,651-1412,西宮市山口町下山口5丁目17-13 リバティービル201,080-3837-7157,079-559-7156,34.8324848,135.2418035
2870900418,（障害児）障害児相談支援事業者,,医療法人社団こあらファミリー,ｲﾘｮｳﾎｳｼﾞﾝｼｬﾀﾞﾝｺｱﾗﾌｧﾐﾘｰ,かんがるーケア,ｶﾝｶﾞﾙｰｹｱ,651-1421,西宮市山口町上山口8番地1,078-904-3377,078-904-3380,34.8150382,135.2442754
2870900178,（障害児）障害児相談支援事業者,,社会福祉法人甲山福祉センター,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｶﾌﾞﾄﾔﾏﾌｸｼｾﾝﾀｰ,西宮市立北山学園,ﾆｼﾉﾐﾔｼﾘﾂｷﾀﾔﾏｶﾞｸｴﾝ,662-0001,西宮市甲山町53番地,0798-71-8027,0798-71-9114,34.7759613,135.3227259
2870900269,（障害児）障害児相談支援事業者,,株式会社天意ホームケア研究所,ｶﾌﾞｼｷｶﾞｲｼｬｱﾏｲﾎｰﾑｹｱｹﾝｷﾕｳｼﾞﾖ,相談支援事業所 紫苑,ｿｳﾀﾞﾝｼｴﾝｼﾞｷﾞｮｳｼｮ ｼｵﾝ,662-0042,西宮市分銅町2-26アペックスヒルズ西宮1F,0798-34-5415,0798-34-5416,34.7421853,135.3389458
2870900137,（障害児）障害児相談支援事業者,,有限会社ボー,ﾕｳｹﾞﾝｶﾞｲｼｬﾎﾞｰ,ひだまりステーションCurare,ﾋﾀﾞﾏﾘｽﾃｰｼﾖﾝ,662-0074,西宮市石刎町16-17 アリスト北夙川104号,0798-75-4401,0798-75-4402,34.7528326,135.3289289
2870900160,（障害児）障害児相談支援事業者,,社会福祉法人甲山福祉センター,ｼｬｶｲﾌｸｼﾎｳｼﾞﾝｶﾌﾞﾄﾔﾏﾌｸｼｾﾝﾀｰ,総合相談支援センター,ｿｳｺﾞｳｿｳﾀﾞﾝｼｴﾝｾﾝﾀｰ,662-0074,西宮市石刎町19番13号,0798-71-2933,0798-71-2941,34.7536549,135.3284643
2870900327,（障害児）障害児相談支援事業者,休止中,合同会社グランフィールド,ｺﾞｳﾄﾞｳｶﾞｲｼｬｸﾞﾗﾝﾌｲｰﾙﾄﾞ,相談支援センターコンツェルト,ｿｳﾀﾞﾝｼｴﾝｾﾝﾀｰｺﾝﾂｴﾙﾄ,662-0077,西宮市久出ケ谷町10番40号,0798-31-5108,0798-31-5109,34.7478977,135.3261127
2870900350,（障害児）障害児相談支援事業者,,一般社団法人あるとぶるぐ,ｲｯﾊﾟﾝｼｬﾀﾞﾝﾎｳｼﾞﾝｱﾙﾄﾌﾞﾙｸﾞ,はんず はあと,ﾊﾝｽﾞ ﾊｱﾄ,662-0835,西宮市平木町9番12号1F,0798-67-0810,0798-67-0410,34.7471119,135.351635
